rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681816200,1.508e+01,1.700e+01,4.075e-01,4.595e-01
1681816800,2.191e+01,8.501e+00,5.921e-01,2.298e-01
1681817400,4.421e+01,2.400e+01,1.195e+00,6.487e-01
1681818000,2.123e+01,9.501e+00,5.737e-01,2.568e-01
1681818600,3.070e+01,2.150e+01,8.298e-01,5.812e-01
1681819200,2.845e+01,1.250e+01,7.689e-01,3.379e-01
1681819800,2.379e+01,1.350e+01,6.429e-01,3.649e-01
1681820400,3.356e+01,1.700e+01,9.071e-01,4.595e-01
1681821000,3.587e+01,2.800e+01,9.694e-01,7.569e-01
1681821600,1.277e+01,1.150e+01,3.452e-01,3.109e-01
1681822200,8.442e+00,2.850e+01,2.282e-01,7.704e-01
1681822800,3.618e+01,4.992e+00,9.779e-01,1.349e-01
1681823400,2.160e+01,2.350e+01,5.838e-01,6.352e-01
1681824000,1.940e+01,4.501e+00,5.242e-01,1.216e-01
1681824600,3.123e+01,4.651e+01,8.441e-01,1.257e+00
1681825200,3.352e+01,1.000e+00,9.059e-01,2.705e-02
1681825800,2.154e+01,1.950e+01,5.821e-01,5.271e-01
1681826400,1.720e+01,1.300e+01,4.649e-01,3.514e-01
1681827000,1.290e+01,9.001e+00,3.488e-01,2.433e-01
1681827600,1.403e+01,1.950e+01,3.793e-01,5.271e-01
1681828200,8.575e+00,1.000e+00,2.318e-01,2.705e-02
1681828800,1.298e+01,1.950e+01,3.508e-01,5.271e-01
1681829400,1.513e+01,1.750e+01,4.090e-01,4.730e-01
1681830000,1.306e+01,1.300e+01,3.529e-01,3.514e-01
1681830600,3.445e+01,1.000e+00,9.312e-01,2.705e-02
1681831200,1.948e+01,1.700e+01,5.265e-01,4.595e-01
1681831800,1.302e+01,2.350e+01,3.520e-01,6.352e-01
1681832400,6.507e+00,1.000e+00,1.759e-01,2.705e-02
1681833000,4.174e+00,6.501e+00,1.128e-01,1.757e-01
1681833600,8.707e+00,2.000e+00,2.353e-01,2.705e-02
1681834200,4.306e+00,8.501e+00,1.164e-01,2.298e-01
1681834800,2.000e+01,5.501e+00,5.405e-01,1.487e-01
1681835400,8.641e+00,1.100e+01,2.335e-01,2.973e-01
1681836000,8.641e+00,1.000e+00,2.335e-01,2.705e-02
1681836600,2.734e+01,6.001e+00,7.389e-01,1.622e-01
1681837200,1.525e+01,8.501e+00,4.121e-01,2.298e-01
1681837800,1.992e+01,1.000e+00,5.385e-01,2.705e-02
